Site,Species,Circumference ,dbh
DB-02,Abies Balsamea,47.9,15.24705643
DB-02,Abies Balsamea,11.1,3.533242721
DB-02,Abies Balsamea,22,7.002823411
DB-02,Abies Balsamea,8.2,2.610143271
DB-02,Abies Balsamea,59.9,19.06677829
DB-02,Abies Balsamea,11,3.501411706
DB-02,Abies Balsamea,23.9,7.607612706
DB-02,Abies Balsamea,19,6.047892946
DB-02,Abies Balsamea,35.4,11.26817949
DB-02,Abies Balsamea,7.6,2.419157178
DB-02,Abies Balsamea,49.5,15.75635267
DB-02,Abies Balsamea,12.5,3.978876938
DB-03,Abies Balsamea,55.9,17.79353767
DB-03,Abies Balsamea,35.1,11.17268644
DB-03,Abies Balsamea,37,11.77747574
DB-01,Acer Rubrum,2,0.63662031
DB-01,Acer Rubrum,2,0.63662031
DB-01,Acer Rubrum,2,0.63662031
DB-02,Acer Rubrum,33,10.50423512
DB-02,Acer Rubrum,23.1,7.352964582
DB-02,Acer Rubrum,20.1,6.398034116
DB-02,Acer Rubrum,31.8,10.12226293
DB-02,Acer Rubrum,37,11.77747574
DB-02,Acer Rubrum,26,8.276064031
DB-02,Acer Rubrum,16.5,5.252117558
DB-02,Acer Rubrum,26.7,8.49888114
DB-02,Acer Rubrum,57.9,18.43015798
DB-02,Acer Rubrum,56.5,17.98452376
DB-02,Acer Rubrum,54,17.18874837
DB-02,Acer Rubrum,42.2,13.43268854
DB-02,Acer Rubrum,35.4,11.26817949
DB-02,Acer Rubrum,26.9,8.562543171
DB-02,Acer Rubrum,27.4,8.721698248
DB-02,Acer Rubrum,25.9,8.244233016
DB-02,Acer Rubrum,21.5,6.843668334
DB-02,Acer Rubrum,43.8,13.94198479
DB-02,Acer Rubrum,22.9,7.289302551
DB-03,Acer Rubrum,16,5.092962481
DB-03,Acer Rubrum,15.7,4.997469434
DB-03,Acer Rubrum,20.5,6.525358179
DB-03,Acer Rubrum,34.5,10.98170035
DB-03,Acer Rubrum,25.5,8.116908954
DB-03,Acer Rubrum,56.9,18.11184782
DB-03,Acer Rubrum,80.5,25.62396748
DB-03,Acer Rubrum,66,21.00847023
DB-03,Acer Rubrum,66,21.00847023
DB-03,Acer Rubrum,56.8,18.08001681
DB-03,Acer Rubrum,41.7,13.27353347
DB-03,Acer Rubrum,19.1,6.079723961
DB-03,Acer Rubrum,23.7,7.543950675
DB-03,Acer Rubrum,51,16.23381791
DB-03,Acer Rubrum,55.8,17.76170665
DB-03,Acer Rubrum,43.7,13.91015378
DB-03,Acer Rubrum,13.5,4.297187093
DB-03,Acer Rubrum,31.2,9.931276838
DB-03,Acer Rubrum,17.9,5.697751775
DB-03,Acer Rubrum,32.1,10.21775598
DB-03,Acer Rubrum,39.9,12.70057519
DB-03,Acer Rubrum,36.8,11.71381371
DB-01,Birch (white?),104.2,33.16791816
DB-02,Birch (white?),43.4,13.81466073
DB-02,Birch (white?),43.9,13.97381581
DB-02,Birch (white?),31.1,9.899445822
DB-02,Birch (white?),39.8,12.66874417
DB-02,Birch (white?),45.6,14.51494307
DB-03,Birch (white?),34.5,10.98170035
DB-01,Common Buckthorn,38.4,12.22310995
DB-01,Common Buckthorn,53.1,16.90226923
DB-02,Common Buckthorn,15.1,4.806483341
DB-02,Common Buckthorn,13.4,4.265356078
DB-02,Common Buckthorn,19.9,6.334372085
DB-02,Common Buckthorn,10.5,3.342256628
DB-03,Common Buckthorn,19.2,6.111554977
DB-03,Common Buckthorn,41.3,13.1462094
DB-02,Speckeld Alder,12.7,4.042538969
DB-02,Speckeld Alder,6.9,2.19634007
DB-02,Speckeld Alder,24.9,7.925922861
DB-02,Speckeld Alder,14.4,4.583666233
DB-03,Speckeld Alder,15,4.774652326
DB-03,Speckeld Alder,21.7,6.907330365
DB-01,Thuja occidentalis,176.5,56.18174237
DB-01,Thuja occidentalis,55,17.50705853
DB-01,Thuja occidentalis,97.7,31.09890215
DB-01,Thuja occidentalis,64.4,20.49917399
DB-01,Thuja occidentalis,15.3,4.870145372
DB-01,Thuja occidentalis,86.1,27.40650435
DB-01,Thuja occidentalis,114.1,36.31918869
DB-01,Thuja occidentalis,116.6,37.11496408
DB-01,Thuja occidentalis,291.2,92.69191715
DB-01,Thuja occidentalis,211.05,67.17935822
DB-01,Thuja occidentalis,62.2,19.79889164
DB-02,Thuja occidentalis,41.8,13.30536448
DB-02,Thuja occidentalis,23.1,7.352964582
DB-02,Thuja occidentalis,45.9,14.61043612
DB-02,Thuja occidentalis,23.8,7.57578169
DB-02,Thuja occidentalis,18.1,5.761413806
